date,close,donchian_ceiling_20d,donchian_floor_20d,state
2020-01-16,0.85165,0.85739,0.84549,0
2020-01-17,0.85251,0.85739,0.84549,0
2020-01-19,0.85304,0.85739,0.84549,0
2020-01-20,0.8533,0.85739,0.84549,0
2020-01-21,0.8497,0.85739,0.84549,0
2020-01-22,0.84416,0.85739,0.84416,0
2020-01-23,0.8427,0.85739,0.8427,0
2020-01-24,0.84338,0.85739,0.8427,0
2020-01-26,0.84407,0.85739,0.8427,0
2020-01-27,0.84378,0.85739,0.8427,0
2020-01-28,0.84633,0.85739,0.8427,0
2020-01-29,0.84582,0.85739,0.8427,0
2020-01-30,0.84282,0.85739,0.8427,0
2020-01-31,0.84015,0.85739,0.84015,0
2020-02-02,0.84126,0.85739,0.84015,0
2020-02-03,0.85114,0.85739,0.84015,0
2020-02-04,0.84758,0.85739,0.84015,0
2020-02-05,0.84648,0.85522,0.84015,0
2020-02-06,0.84924,0.85522,0.84015,0
2020-02-07,0.84935,0.8533,0.84015,0
2020-02-09,0.84945,0.8533,0.84015,0
2020-02-10,0.84472,0.8533,0.84015,0
2020-02-11,0.84275,0.8533,0.84015,0
2020-02-12,0.8393,0.85114,0.8393,0
2020-02-13,0.83104,0.85114,0.83104,0
2020-02-14,0.83022,0.85114,0.83022,0
2020-02-16,0.83064,0.85114,0.83022,0
2020-02-17,0.83322,0.85114,0.83022,0
2020-02-18,0.83039,0.85114,0.83022,0
2020-02-19,0.8363,0.85114,0.83022,0
2020-02-20,0.83748,0.85114,0.83022,0
2020-02-21,0.83715,0.85114,0.83022,0
2020-02-23,0.83684,0.85114,0.83022,0
2020-02-24,0.83938,0.85114,0.83022,0
2020-02-25,0.83672,0.85114,0.83022,0
2020-02-26,0.84348,0.84945,0.83022,0
2020-02-27,0.85325,0.85325,0.83022,0
2020-02-28,0.86031,0.86031,0.83022,0
2020-03-01,0.86312,0.86312,0.83022,0
2020-03-02,0.8729,0.8729,0.83022,0
2020-03-03,0.87182,0.8729,0.83022,0
2020-03-04,0.86534,0.8729,0.83022,0
2020-03-05,0.86663,0.8729,0.83022,0
2020-03-06,0.86493,0.8729,0.83022,0
2020-03-08,0.86954,0.8729,0.83022,0
2020-03-09,0.87198,0.8729,0.83039,0
2020-03-10,0.8767,0.8767,0.83039,0
2020-03-11,0.8786,0.8786,0.83039,0
2020-03-12,0.88944,0.88944,0.8363,0
2020-03-13,0.90435,0.90435,0.83672,0
2020-03-15,0.89984,0.90435,0.83672,0
2020-03-16,0.91005,0.91005,0.83672,0
2020-03-17,0.90916,0.91005,0.83672,0
2020-03-18,0.94274,0.94274,0.83672,0
2020-03-19,0.92721,0.94274,0.84348,0
2020-03-20,0.91857,0.94274,0.85325,0
2020-03-22,0.91988,0.94274,0.86031,0
2020-03-23,0.92816,0.94274,0.86312,0
2020-03-24,0.9159,0.94274,0.86493,0
2020-03-25,0.91899,0.94274,0.86493,0
2020-03-26,0.90612,0.94274,0.86493,0
2020-03-27,0.89416,0.94274,0.86493,0
2020-03-29,0.89443,0.94274,0.86493,0
2020-03-30,0.89162,0.94274,0.86954,0
2020-03-31,0.88879,0.94274,0.87198,0
2020-04-01,0.88457,0.94274,0.8767,0
2020-04-02,0.87526,0.94274,0.87526,0
2020-04-03,0.8804,0.94274,0.87526,0
2020-04-05,0.88444,0.94274,0.87526,0
2020-04-06,0.8829,0.94274,0.87526,0
2020-04-07,0.883,0.94274,0.87526,0
2020-04-08,0.87646,0.94274,0.87526,0
2020-04-09,0.87712,0.94274,0.87526,0
2020-04-10,0.87791,0.92816,0.87526,0
2020-04-12,0.87736,0.92816,0.87526,0
2020-04-13,0.8721,0.92816,0.8721,0
2020-04-14,0.86997,0.92816,0.86997,0
2020-04-15,0.87098,0.91899,0.86997,0
2020-04-16,0.86954,0.91899,0.86954,0
2020-04-17,0.86958,0.90612,0.86954,0
2020-04-19,0.87016,0.89443,0.86954,0
2020-04-20,0.87326,0.89443,0.86954,0
